viaje_idx,tarjeta_id,origen,destino,servicio_final,linea,version_que_gana,t_entrada_viaje,t_salida_viaje,direccion,dia_proceso,etiqueta,servicio_tramo_v1,servicio_tramo_v2,MONTO_TRANSACCION,tipo_pasajero_norm
0,177208,Concepcion,Coronel,20169,L2,V1,2026-05-23 20:12:09,2026-05-23 21:13:17,CC→CW,2026-05-23,,20169,20169,880,Monedero
1,177383,El Parque,Lomas Coloradas,20167,L2,V1,2026-05-23 20:09:20,2026-05-23 20:19:00,CC→CW,2026-05-23,,20167,20167,430,Monedero
2,177964,Juan Pablo II,Concepcion,20160,L2,V1,2026-05-23 18:05:24,2026-05-23 18:53:18,CW→CC,2026-05-23,combo_por_entrada,20160,20160,560,Monedero
3,178897,Alborada,Los Canelos,20161,L2,V1,2026-05-23 18:33:23,2026-05-23 19:02:32,CC→CW,2026-05-23,,20161,20161,650,Monedero
4,179042,Concepcion,Costa Mar,20161,L2,V1,2026-05-23 18:26:39,2026-05-23 18:44:45,CC→CW,2026-05-23,,20161,20161,570,Monedero
5,179042,Concepcion,Costa Mar,20161,L2,V1,2026-05-23 18:26:56,2026-05-23 18:44:21,CC→CW,2026-05-23,,20161,20161,570,Monedero
6,179098,Los Canelos,Coronel,20157,L2,V1,2026-05-23 17:58:13,2026-05-23 18:15:29,CC→CW,2026-05-23,,20157,20157,530,Monedero
7,179169,UTF Santa Maria,Concepcion,20859,L1,V1,2026-05-23 12:43:07,2026-05-23 13:08:58,TH→HQ,2026-05-23,combo_por_entrada,20859,20859,560,Monedero
8,180474,Cristo Redentor,Coronel,20049,L2,V1,2026-05-23 12:04:49,2026-05-23 12:15:43,CC→CW,2026-05-23,,20049,20049,450,Monedero
9,181238,La Leonera,Mercado,20321,L1,V1,2026-05-23 16:02:33,2026-05-23 16:57:55,HQ→TH,2026-05-23,,20321,20321,550,Monedero
10,181238,Mercado,Concepcion,20322,L1,V1,2026-05-23 17:51:28,2026-05-23 18:50:46,TH→HQ,2026-05-23,combo_relajado_pase3,20322,20322,550,Monedero
11,181334,Costa Mar,Concepcion,20158,L2,V1,2026-05-23 17:30:32,2026-05-23 17:57:38,CW→CC,2026-05-23,,20158,20158,570,Monedero
12,184120,Concepcion,Coronel,20161,L2,V1,2026-05-23 18:06:14,2026-05-23 19:13:44,CC→CW,2026-05-23,,20161,20159,880,Monedero
13,184194,Huinca,Concepcion,20044,L2,V1,2026-05-23 10:11:13,2026-05-23 10:49:22,CW→CC,2026-05-23,,20044,20044,850,Monedero
14,185164,Lomas Coloradas,Concepcion,20154,L2,V1,2026-05-23 09:20:53,2026-05-23 09:43:29,CW→CC,2026-05-23,,20154,20154,570,Monedero
15,185164,Concepcion,Lomas Coloradas,20157,L2,V1,2026-05-23 17:23:55,2026-05-23 17:52:57,CC→CW,2026-05-23,,20157,20157,570,Monedero
16,186881,Hito Galvarino,Huinca,20035,L2,V1,2026-05-23 10:29:05,2026-05-23 10:39:58,CC→CW,2026-05-23,,20035,20035,460,Monedero
17,186881,Hito Galvarino,Huinca,20035,L2,V1,2026-05-23 10:29:26,2026-05-23 10:39:45,CC→CW,2026-05-23,,20035,20035,460,Monedero
18,186881,Huinca,Hito Galvarino,20052,L2,V1,2026-05-23 11:18:20,2026-05-23 11:37:05,CW→CC,2026-05-23,,20052,20052,460,Monedero
19,186881,Huinca,Hito Galvarino,20052,L2,V1,2026-05-23 11:18:28,2026-05-23 11:36:31,CW→CC,2026-05-23,,20052,20052,460,Monedero
20,187616,Lomas Coloradas,Concepcion,20158,L2,V1,2026-05-23 17:27:26,2026-05-23 17:58:02,CW→CC,2026-05-23,,20158,20158,570,Monedero
21,189802,Concepcion,Cdal. Raul Silva Henriquez,20067,L2,V1,2026-05-23 14:52:34,2026-05-23 15:52:14,CC→CW,2026-05-23,,20067,20067,570,Monedero
22,189994,Concepcion,Higueras,20848,L1,V1,2026-05-23 20:50:40,2026-05-23 21:20:35,HQ→TH,2026-05-23,,20848,20848,500,Monedero
23,190809,Huinca,Concepcion,20146,L2,V1,2026-05-23 07:39:46,2026-05-23 08:13:05,CW→CC,2026-05-23,,20146,20146,850,Monedero
24,190831,Cdal. Raul Silva Henriquez,Juan Pablo II,20152,L2,V1,2026-05-23 08:48:27,2026-05-23 09:06:17,CW→CC,2026-05-23,,20152,20152,510,Monedero
25,190831,Juan Pablo II,Cdal. Raul Silva Henriquez,20169,L2,V1,2026-05-23 20:13:22,2026-05-23 20:52:15,CC→CW,2026-05-23,,20169,20167,510,Monedero
26,191144,El Parque,Diagonal Bio Bio,20066,L2,V1,2026-05-23 14:35:21,2026-05-23 15:20:02,CW→CC,2026-05-23,,20066,20066,510,Monedero
27,191185,Costa Mar,Cdal. Raul Silva Henriquez,20157,L2,V1,2026-05-23 17:25:13,2026-05-23 17:55:58,CC→CW,2026-05-23,,20157,20157,430,Monedero
28,191395,Huinca,Concepcion,20180,L2,V1,2026-05-23 16:50:11,2026-05-23 17:27:31,CW→CC,2026-05-23,,20180,20180,850,Monedero
29,191826,La Leonera,UTF Santa Maria,20327,L1,V1,2026-05-23 18:08:18,2026-05-23 18:40:51,HQ→TH,2026-05-23,,20327,20846,540,Monedero
30,193987,Laguna Quinenco,Juan Pablo II,20144,L2,V1,2026-05-23 06:42:03,2026-05-23 07:37:44,CW→CC,2026-05-23,,20144,20144,790,Monedero
31,193987,Juan Pablo II,Laguna Quinenco,20053,L2,V1,2026-05-23 12:14:49,2026-05-23 12:49:58,CC→CW,2026-05-23,,20053,20053,790,Monedero
32,195397,Higueras,Concepcion,20845,L1,V1,2026-05-23 16:03:48,2026-05-23 16:27:33,TH→HQ,2026-05-23,,20845,20845,500,Monedero
33,195590,Concepcion,Higueras,20848,L1,V1,2026-05-23 20:54:49,2026-05-23 21:20:14,HQ→TH,2026-05-23,,20848,20848,500,Monedero
34,198560,Concepcion,Hito Galvarino,20063,L2,V1,2026-05-23 14:24:31,2026-05-23 15:04:04,CC→CW,2026-05-23,,20063,20063,850,Monedero
35,198560,Hito Galvarino,Concepcion,20170,L2,V1,2026-05-23 20:27:19,2026-05-23 21:18:30,CW→CC,2026-05-23,combo_por_entrada,20170,20170,870,Monedero
36,200356,Concepcion,Concepcion,,,N/A,2026-05-23 20:00:43,2026-05-23 20:01:21,,2026-05-23,no viajo,,,420,Monedero
37,209211,Coronel,Concepcion,20066,L2,V1,2026-05-23 14:39:33,2026-05-23 15:30:14,CW→CC,2026-05-23,,20066,20066,880,Monedero
38,227225,Juan Pablo II,Lomas Coloradas,20161,L2,V1,2026-05-23 18:34:59,2026-05-23 18:49:44,CC→CW,2026-05-23,,20161,20161,510,Monedero
39,227225,Juan Pablo II,Lomas Coloradas,20161,L2,V1,2026-05-23 18:35:11,2026-05-23 18:49:37,CC→CW,2026-05-23,,20161,20161,510,Monedero
40,229644,El Arenal,Concepcion,20328,L1,V1,2026-05-23 18:57:27,2026-05-23 19:50:06,TH→HQ,2026-05-23,match_por_salida_fallback,20328,20328,590,Monedero
41,245201,Concepcion,Pedro Medina,20845,L1,V1,2026-05-23 16:23:00,2026-05-23 16:43:40,TH→HQ,2026-05-23,,20845,20845,510,Monedero
42,265142,Coronel,Concepcion,20048,L2,V1,2026-05-23 10:28:06,2026-05-23 11:22:40,CW→CC,2026-05-23,,20048,20048,880,Monedero
