viaje_idx,tarjeta_id,origen,destino,servicio_final,linea,version_que_gana,t_entrada_viaje,t_salida_viaje,direccion,dia_proceso,etiqueta,servicio_tramo_v1,servicio_tramo_v2,MONTO_TRANSACCION,tipo_pasajero_norm
0,153193,Concepcion,Huinca,20171,L2,V1,2026-02-21 21:00:11,2026-02-21 21:39:46,CC→CW,2026-02-21,,20171,20171,850,Monedero
1,175470,Concepcion,Lomas Coloradas,20163,L2,V1,2026-02-21 18:47:22,2026-02-21 19:23:27,CC→CW,2026-02-21,,20163,20163,570,Monedero
2,176675,Cristo Redentor,Hito Galvarino,20146,L2,V1,2026-02-21 07:09:56,2026-02-21 07:46:03,CW→CC,2026-02-21,,20146,20144,460,Monedero
3,176716,Diagonal Bio Bio,Huinca,20157,L2,V1,2026-02-21 17:32:41,2026-02-21 18:07:21,CC→CW,2026-02-21,,20157,20157,680,Monedero
4,176716,Diagonal Bio Bio,Huinca,20157,L2,V1,2026-02-21 17:32:56,2026-02-21 18:06:58,CC→CW,2026-02-21,,20157,20157,680,Monedero
5,177249,Juan Pablo II,Concepcion,20168,L2,V1,2026-02-21 20:21:34,2026-02-21 20:31:53,CW→CC,2026-02-21,,20168,20168,570,Monedero
6,177521,Los Canelos,Concepcion,20152,L2,V1,2026-02-21 08:32:50,2026-02-21 09:25:22,CW→CC,2026-02-21,,20152,20152,850,Monedero
7,177928,Concepcion,Laguna Quinenco,20165,L2,V1,2026-02-21 19:11:07,2026-02-21 20:13:47,CC→CW,2026-02-21,,20165,20165,880,Monedero
8,177928,Concepcion,Laguna Quinenco,20165,L2,V1,2026-02-21 19:11:27,2026-02-21 20:13:23,CC→CW,2026-02-21,,20165,20165,880,Monedero
9,177928,Concepcion,Laguna Quinenco,20165,L2,V1,2026-02-21 19:11:56,2026-02-21 20:13:20,CC→CW,2026-02-21,,20165,20165,880,Monedero
10,177968,Manquimavida,UTF Santa Maria,20846,L1,V1,2026-02-21 17:09:05,2026-02-21 17:41:56,HQ→TH,2026-02-21,,20846,20846,540,Monedero
11,179376,Concepcion,La Leonera,20847,L1,V1,2026-02-21 20:17:44,2026-02-21 20:51:37,TH→HQ,2026-02-21,,20847,20847,510,Monedero
