viaje_idx,tarjeta_id,origen,destino,servicio_final,linea,version_que_gana,t_entrada_viaje,t_salida_viaje,direccion,dia_proceso,etiqueta,servicio_tramo_v1,servicio_tramo_v2,MONTO_TRANSACCION,tipo_pasajero_norm
0,153193,Huinca,Concepcion,20000,L2,V1,2026-02-24 06:00:52,2026-02-24 07:27:09,CW→CC,2026-02-24,combo_por_entrada,20000,20000,900,Monedero
1,176255,Concepcion,Cristo Redentor,20121,L2,V1,2026-02-24 20:13:34,2026-02-24 22:11:25,CC→CW,2026-02-24,combo_por_entrada,20121,20109,880,Monedero
2,176290,Higueras,Lzo. Arenas,20326,L1,V1,2026-02-24 18:02:57,2026-02-24 18:19:51,TH→HQ,2026-02-24,,20326,20326,500,Monedero
3,176675,Cristo Redentor,Hito Galvarino,20040,L2,V1,2026-02-24 09:34:58,2026-02-24 09:53:44,CW→CC,2026-02-24,,20040,20040,460,Monedero
4,177834,Los Canelos,Concepcion,20066,L2,V1,2026-02-24 14:40:46,2026-02-24 15:24:03,CW→CC,2026-02-24,,20066,20064,850,Monedero
5,177964,Concepcion,Alborada,20069,L2,V1,2026-02-24 16:00:06,2026-02-24 16:59:53,CC→CW,2026-02-24,combo_por_entrada,20069,20069,560,Monedero
6,178022,Concepcion,Los Condores,20323,L1,V1,2026-02-24 16:54:52,2026-02-24 17:18:19,HQ→TH,2026-02-24,,20323,,500,Monedero
7,178037,Concepcion,Los Condores,20325,L1,V1,2026-02-24 17:29:42,2026-02-24 17:47:29,HQ→TH,2026-02-24,,20325,20325,500,Monedero
8,178071,Manquimavida,El Arenal,20311,L1,V1,2026-02-24 09:20:56,2026-02-24 10:13:50,HQ→TH,2026-02-24,,20311,20373,550,Monedero
9,178071,El Arenal,Concepcion,20328,L1,V1,2026-02-24 18:52:48,2026-02-24 19:25:00,TH→HQ,2026-02-24,,20328,20328,540,Monedero
10,178819,Concepcion,Alborada,20007,L2,V1,2026-02-24 06:59:42,2026-02-24 07:44:46,CC→CW,2026-02-24,match_por_salida_fallback,20007,20007,560,Monedero
11,179164,Concepcion,Diagonal Bio Bio,20127,L2,V1,2026-02-24 22:02:30,2026-02-24 22:35:52,CC→CW,2026-02-24,,20127,20127,570,Monedero
12,179212,Concepcion,Lomas Coloradas,20057,L2,V1,2026-02-24 12:58:38,2026-02-24 13:24:28,CC→CW,2026-02-24,,20057,20057,570,Monedero
13,179212,Concepcion,Lomas Coloradas,20057,L2,V1,2026-02-24 12:58:49,2026-02-24 13:24:03,CC→CW,2026-02-24,,20057,20057,570,Monedero
14,179376,Concepcion,La Leonera,20855,L1,V1,2026-02-24 21:12:17,2026-02-24 21:46:45,TH→HQ,2026-02-24,,20855,20855,510,Monedero
15,179458,Concepcion,Coronel,20099,L2,V1,2026-02-24 18:57:42,2026-02-24 20:17:29,CC→CW,2026-02-24,combo_por_entrada,20099,20099,910,Monedero
16,180089,Los Canelos,Concepcion,20020,L2,V1,2026-02-24 07:47:07,2026-02-24 08:32:00,CW→CC,2026-02-24,,20020,20018,850,Monedero
17,180089,Diagonal Bio Bio,Laguna Quinenco,20089,L2,V1,2026-02-24 18:31:08,2026-02-24 19:14:34,CC→CW,2026-02-24,,20089,20087,790,Monedero
18,180387,Concepcion,Los Condores,20842,L1,V1,2026-02-24 08:03:10,2026-02-24 08:54:13,HQ→TH,2026-02-24,match_por_salida_fallback,20842,20842,590,Monedero
19,180387,Concepcion,Cdal. Raul Silva Henriquez,20079,L2,V1,2026-02-24 17:03:00,2026-02-24 17:55:11,CC→CW,2026-02-24,combo_relajado_pase2,20079,20069,590,Monedero
20,180534,Concepcion,Los Condores,20331,L1,V1,2026-02-24 19:28:22,2026-02-24 19:47:11,HQ→TH,2026-02-24,,20331,20331,500,Monedero
21,180619,Coronel,Costa Mar,20052,L2,V1,2026-02-24 11:17:34,2026-02-24 11:48:38,CW→CC,2026-02-24,,20052,20052,650,Monedero
22,181341,Coronel,Alborada,20002,L2,V1,2026-02-24 06:08:58,2026-02-24 06:42:51,CW→CC,2026-02-24,,20002,20002,790,Monedero
23,181341,Costa Mar,Coronel,20071,L2,V1,2026-02-24 17:15:29,2026-02-24 18:01:13,CC→CW,2026-02-24,,20071,20071,650,Monedero
24,182456,La Leonera,Hualqui,20332,L1,V1,2026-02-24 20:45:11,2026-02-24 21:01:06,TH→HQ,2026-02-24,,20332,20332,500,Monedero
25,182470,Los Canelos,Laguna Quinenco,20083,L2,V1,2026-02-24 18:27:36,2026-02-24 18:42:32,CC→CW,2026-02-24,,20083,20083,530,Monedero
26,184194,Huinca,Concepcion,20042,L2,V1,2026-02-24 10:01:44,2026-02-24 10:39:27,CW→CC,2026-02-24,,20042,20042,850,Monedero
27,184253,Costa Mar,Diagonal Bio Bio,20022,L2,V1,2026-02-24 08:18:31,2026-02-24 08:36:08,CW→CC,2026-02-24,,20022,20020,510,Monedero
28,184275,Alborada,Concepcion,20034,L2,V1,2026-02-24 09:35:07,2026-02-24 10:05:36,CW→CC,2026-02-24,,20034,20034,570,Monedero
29,184275,Concepcion,Alborada,20091,L2,V1,2026-02-24 18:48:06,2026-02-24 19:15:51,CC→CW,2026-02-24,,20091,20091,570,Monedero
30,184444,Los Canelos,Concepcion,20068,L2,V1,2026-02-24 15:48:20,2026-02-24 16:24:30,CW→CC,2026-02-24,,20068,20068,850,Monedero
31,185905,Mercado,Concepcion,20841,L1,V1,2026-02-24 06:57:35,2026-02-24 07:28:12,TH→HQ,2026-02-24,,20841,20841,540,Monedero
32,185905,Concepcion,Mercado,20325,L1,V1,2026-02-24 17:23:42,2026-02-24 17:57:39,HQ→TH,2026-02-24,,20325,20325,540,Monedero
33,186010,Hito Galvarino,Costa Mar,20082,L2,V1,2026-02-24 17:22:55,2026-02-24 17:38:58,CW→CC,2026-02-24,,20082,20082,610,Monedero
34,186010,Costa Mar,Hito Galvarino,20107,L2,V1,2026-02-24 20:29:40,2026-02-24 20:47:51,CC→CW,2026-02-24,,20107,20107,610,Monedero
35,186063,Concepcion,Diagonal Bio Bio,20127,L2,V1,2026-02-24 22:02:43,2026-02-24 22:35:44,CC→CW,2026-02-24,,20127,20127,570,Monedero
36,187616,Concepcion,Lomas Coloradas,20099,L2,V1,2026-02-24 19:34:04,2026-02-24 20:08:51,CC→CW,2026-02-24,,20099,20099,570,Monedero
37,188505,Hualqui,La Leonera,20313,L1,V1,2026-02-24 09:59:39,2026-02-24 10:17:46,HQ→TH,2026-02-24,,20313,20313,500,Monedero
38,188505,La Leonera,Hualqui,20332,L1,V1,2026-02-24 20:44:02,2026-02-24 21:01:23,TH→HQ,2026-02-24,,20332,20332,500,Monedero
39,188544,Costa Mar,Concepcion,20002,L2,V1,2026-02-24 06:37:11,2026-02-24 06:56:36,CW→CC,2026-02-24,,20002,20002,570,Monedero
40,188544,Concepcion,Costa Mar,20089,L2,V1,2026-02-24 18:06:42,2026-02-24 18:47:02,CC→CW,2026-02-24,combo_por_entrada,20089,20089,590,Monedero
41,189171,Huinca,Concepcion,20048,L2,V1,2026-02-24 10:48:04,2026-02-24 11:29:00,CW→CC,2026-02-24,,20048,20048,850,Monedero
42,189227,Lomas Coloradas,Cdal. Raul Silva Henriquez,20089,L2,V1,2026-02-24 18:43:19,2026-02-24 18:56:03,CC→CW,2026-02-24,,20089,20087,430,Monedero
43,189227,Cdal. Raul Silva Henriquez,Lomas Coloradas,20126,L2,V1,2026-02-24 21:57:39,2026-02-24 22:03:02,CW→CC,2026-02-24,,20126,20126,430,Monedero
44,189874,Concepcion,Manquimavida,20322,L1,V1,2026-02-24 17:25:22,2026-02-24 17:46:13,TH→HQ,2026-02-24,,20322,,510,Monedero
45,190831,Cdal. Raul Silva Henriquez,Juan Pablo II,20050,L2,V1,2026-02-24 11:13:55,2026-02-24 11:32:36,CW→CC,2026-02-24,,20050,20050,510,Monedero
46,190831,Juan Pablo II,Cdal. Raul Silva Henriquez,20117,L2,V1,2026-02-24 21:25:23,2026-02-24 21:55:40,CC→CW,2026-02-24,,20117,20117,510,Monedero
47,191304,La Leonera,Concepcion,20305,L1,V1,2026-02-24 07:39:00,2026-02-24 08:00:54,HQ→TH,2026-02-24,,20305,20305,510,Monedero
48,191307,Mercado,Costa Mar,,,N/A,2026-02-24 14:52:53,2026-02-24 15:46:18,,2026-02-24,sin_combo_factible_en_hub|sin_s1_factible_retro,,,590,Monedero
49,191392,Mercado,La Leonera,20332,L1,V1,2026-02-24 19:57:12,2026-02-24 20:49:24,TH→HQ,2026-02-24,,20332,20332,550,Monedero
50,191788,Pedro Medina,Higueras,20325,L1,V1,2026-02-24 17:13:46,2026-02-24 17:49:09,HQ→TH,2026-02-24,,20325,20325,540,Monedero
51,193987,Laguna Quinenco,Juan Pablo II,20008,L2,V1,2026-02-24 06:41:44,2026-02-24 07:23:35,CW→CC,2026-02-24,,20008,20008,790,Monedero
52,193987,Juan Pablo II,Laguna Quinenco,20083,L2,V1,2026-02-24 18:08:39,2026-02-24 18:52:53,CC→CW,2026-02-24,,20083,20083,790,Monedero
53,194086,Lomas Coloradas,Concepcion,20056,L2,V1,2026-02-24 12:29:06,2026-02-24 13:01:24,CW→CC,2026-02-24,,20056,20056,570,Monedero
54,194682,La Leonera,Concepcion,20327,L1,V1,2026-02-24 18:15:04,2026-02-24 18:35:33,HQ→TH,2026-02-24,,20327,20327,510,Monedero
55,195372,Concepcion,Hualqui,20324,L1,V1,2026-02-24 17:37:22,2026-02-24 18:30:02,TH→HQ,2026-02-24,combo_por_entrada,20324,20324,600,Monedero
56,195394,Los Canelos,Concepcion,20056,L2,V1,2026-02-24 12:26:30,2026-02-24 13:03:13,CW→CC,2026-02-24,,20056,20056,850,Monedero
57,195394,Los Canelos,Concepcion,20056,L2,V1,2026-02-24 12:26:38,2026-02-24 13:03:03,CW→CC,2026-02-24,,20056,20056,850,Monedero
58,195394,Concepcion,Los Canelos,20121,L2,V1,2026-02-24 20:37:23,2026-02-24 22:09:06,CC→CW,2026-02-24,combo_por_entrada,20121,20121,870,Monedero
59,195394,Higueras,Concepcion,20855,L1,V1,2026-02-24 20:37:43,2026-02-24 22:08:23,TH→HQ,2026-02-24,combo_por_entrada,20855,20121,870,Monedero
60,195552,Concepcion,Costa Mar,20005,L2,V1,2026-02-24 07:03:08,2026-02-24 07:28:34,CC→CW,2026-02-24,,20005,20003,570,Monedero
61,195552,Costa Mar,Concepcion,20090,L2,V1,2026-02-24 18:23:33,2026-02-24 18:41:58,CW→CC,2026-02-24,,20090,20090,570,Monedero
62,197688,Concepcion,Hito Galvarino,20067,L2,V1,2026-02-24 15:28:38,2026-02-24 15:58:36,CC→CW,2026-02-24,,20067,20067,850,Monedero
63,199329,Cristo Redentor,El Parque,20014,L2,V1,2026-02-24 07:18:01,2026-02-24 07:40:21,CW→CC,2026-02-24,,20014,20014,630,Monedero
64,199442,Hualqui,Mercado,20301,L1,V1,2026-02-24 06:02:15,2026-02-24 07:27:01,HQ→TH,2026-02-24,,20301,20301,580,Monedero
65,199442,Concepcion,Hualqui,20855,L1,V1,2026-02-24 21:23:59,2026-02-24 22:00:37,TH→HQ,2026-02-24,,20855,20855,550,Monedero
66,200315,Concepcion,Lomas Coloradas,20009,L2,V1,2026-02-24 07:06:18,2026-02-24 07:52:18,CC→CW,2026-02-24,combo_relajado_pase1,20009,20003,590,Monedero
67,200315,Concepcion,Pedro Medina,20326,L1,V1,2026-02-24 17:40:19,2026-02-24 18:43:57,TH→HQ,2026-02-24,combo_por_entrada,20326,20324,590,Monedero
68,201298,Hualqui,Lzo. Arenas,20329,L1,V1,2026-02-24 18:29:33,2026-02-24 19:09:45,HQ→TH,2026-02-24,,20329,20329,550,Monedero
69,205136,Laguna Quinenco,El Parque,20076,L2,V1,2026-02-24 16:41:54,2026-02-24 17:13:46,CW→CC,2026-02-24,,20076,20076,650,Monedero
70,206520,La Leonera,Higueras,20329,L1,V1,2026-02-24 18:37:18,2026-02-24 19:19:52,HQ→TH,2026-02-24,,20329,20329,540,Monedero
71,209754,Concepcion,Pedro Medina,20332,L1,V1,2026-02-24 20:24:46,2026-02-24 20:43:55,TH→HQ,2026-02-24,,20332,20332,510,Monedero
72,212791,Concepcion,Costa Mar,20101,L2,V1,2026-02-24 19:43:03,2026-02-24 20:03:14,CC→CW,2026-02-24,,20101,20101,570,Monedero
73,229307,Diagonal Bio Bio,Costa Mar,20059,L2,V1,2026-02-24 13:26:16,2026-02-24 13:34:12,CC→CW,2026-02-24,,20059,20059,510,Monedero
74,229307,Costa Mar,Diagonal Bio Bio,20088,L2,V1,2026-02-24 18:07:13,2026-02-24 18:15:11,CW→CC,2026-02-24,,20088,20088,510,Monedero
75,234797,Cristo Redentor,Concepcion,20020,L2,V1,2026-02-24 07:44:35,2026-02-24 08:32:48,CW→CC,2026-02-24,,20020,20018,850,Monedero
76,234797,Concepcion,Cristo Redentor,20109,L2,V1,2026-02-24 20:22:33,2026-02-24 21:11:59,CC→CW,2026-02-24,,20109,20107,850,Monedero
77,234820,Concepcion,Costa Mar,20109,L2,V1,2026-02-24 20:22:41,2026-02-24 20:48:43,CC→CW,2026-02-24,,20109,20107,570,Monedero
78,235340,Huinca,Costa Mar,20082,L2,V1,2026-02-24 17:00:05,2026-02-24 17:38:45,CW→CC,2026-02-24,,20082,20082,630,Monedero
79,240916,Lomas Coloradas,El Parque,20012,L2,V1,2026-02-24 07:29:02,2026-02-24 07:34:00,CW→CC,2026-02-24,,20012,20012,430,Monedero
80,244790,Higueras,Hualqui,20332,L1,V1,2026-02-24 19:59:28,2026-02-24 20:59:50,TH→HQ,2026-02-24,,20332,20332,560,Monedero
81,246533,Concepcion,Huinca,20089,L2,V1,2026-02-24 18:32:02,2026-02-24 19:24:24,CC→CW,2026-02-24,,20089,20089,850,Monedero
