viaje_idx,tarjeta_id,origen,destino,servicio_final,linea,version_que_gana,t_entrada_viaje,t_salida_viaje,direccion,dia_proceso,etiqueta,servicio_tramo_v1,servicio_tramo_v2
0,174637,UTF Santa Maria,Lzo. Arenas,20304,L1,V1,2025-09-17 07:44:11,2025-09-17 07:50:43,TH→HQ,2025-09-17,,20304,20304
1,175469,Lomas Coloradas,Concepcion,20016,L2,V1,2025-09-17 08:07:03,2025-09-17 08:40:06,CW→CC,2025-09-17,,20016,20016
2,176240,Manquimavida,Higueras,20842,L1,V1,2025-09-17 08:09:51,2025-09-17 08:50:04,HQ→TH,2025-09-17,,20842,20842
3,176483,Los Condores,Lzo. Arenas,20304,L1,V1,2025-09-17 07:38:23,2025-09-17 07:51:23,TH→HQ,2025-09-17,,20304,20304
4,177227,Concepcion,Los Canelos,20055,L2,V1,2025-09-17 16:07:04,2025-09-17 17:17:41,CC→CW,2025-09-17,,20055,20055
5,177372,Los Canelos,Concepcion,20046,L2,V1,2025-09-17 14:01:51,2025-09-17 14:49:16,CW→CC,2025-09-17,,20046,20046
6,177372,Concepcion,Los Canelos,20055,L2,V1,2025-09-17 15:53:04,2025-09-17 17:17:32,CC→CW,2025-09-17,,20055,20055
7,177864,Coronel,Concepcion,20020,L2,V1,2025-09-17 08:11:38,2025-09-17 09:14:08,CW→CC,2025-09-17,,20020,20020
8,178022,Concepcion,Los Condores,20323,L1,V1,2025-09-17 16:54:22,2025-09-17 17:16:01,HQ→TH,2025-09-17,,20323,20323
9,178096,Los Condores,Concepcion,,,N/A,2025-09-17 08:39:45,2025-09-17 08:57:08,,2025-09-17,sin_combo_factible_en_hub|sin_s1_factible_retro,,
10,178841,Cristo Redentor,Los Canelos,20088,L2,V1,2025-09-17 20:19:54,2025-09-17 20:29:32,CW→CC,2025-09-17,,20088,20088
11,178938,Concepcion,Hito Galvarino,20075,L2,V1,2025-09-17 19:01:37,2025-09-17 19:47:46,CC→CW,2025-09-17,,20075,20075
12,179025,Concepcion,Cdal. Raul Silva Henriquez,20055,L2,V1,2025-09-17 16:04:45,2025-09-17 17:04:50,CC→CW,2025-09-17,combo_por_entrada,20055,20055
13,179025,Cdal. Raul Silva Henriquez,Concepcion,20092,L2,V1,2025-09-17 21:08:45,2025-09-17 21:47:29,CW→CC,2025-09-17,,20092,20092
14,179161,Huinca,Juan Pablo II,20016,L2,V1,2025-09-17 07:55:35,2025-09-17 08:31:42,CW→CC,2025-09-17,,20016,20016
15,179334,Alborada,Concepcion,20024,L2,V1,2025-09-17 09:27:13,2025-09-17 09:50:53,CW→CC,2025-09-17,,20024,20024
16,179433,Hualqui,Concepcion,20313,L1,V1,2025-09-17 09:58:37,2025-09-17 10:32:19,HQ→TH,2025-09-17,,20313,20313
17,179433,Concepcion,Hualqui,20843,L1,V1,2025-09-17 12:24:00,2025-09-17 12:56:32,TH→HQ,2025-09-17,,20843,
18,179439,Costa Mar,Concepcion,20084,L2,V1,2025-09-17 20:05:41,2025-09-17 20:34:07,CW→CC,2025-09-17,,20084,20084
