viaje_idx,tarjeta_id,origen,destino,servicio_final,linea,version_que_gana,t_entrada_viaje,t_salida_viaje,direccion,dia_proceso,etiqueta,servicio_tramo_v1,servicio_tramo_v2
0,175380,Concepcion,Cdal. Raul Silva Henriquez,20067,L2,V1,2025-10-17 18:11:36,2025-10-17 18:35:04,CC→CW,2025-10-17,,20067,20067
1,175469,Lomas Coloradas,Concepcion,20016,L2,V1,2025-10-17 08:04:06,2025-10-17 08:38:27,CW→CC,2025-10-17,,20016,20016
2,175469,Concepcion,Lomas Coloradas,20063,L2,V1,2025-10-17 17:42:29,2025-10-17 18:19:48,CC→CW,2025-10-17,,20063,20063
3,175972,Huinca,Concepcion,20024,L2,V1,2025-10-17 08:58:33,2025-10-17 09:50:43,CW→CC,2025-10-17,,20024,20024
4,176240,Higueras,Manquimavida,20320,L1,V1,2025-10-17 16:07:42,2025-10-17 16:54:28,TH→HQ,2025-10-17,,20320,20320
5,176255,Cristo Redentor,Concepcion,20040,L2,V1,2025-10-17 12:17:34,2025-10-17 13:02:24,CW→CC,2025-10-17,,20040,20040
6,176255,Laguna Quinenco,Costa Mar,20072,L2,V1,2025-10-17 18:26:21,2025-10-17 18:55:01,CW→CC,2025-10-17,,20072,20072
7,176483,Lzo. Arenas,Concepcion,20332,L1,V1,2025-10-17 20:42:16,2025-10-17 20:53:57,TH→HQ,2025-10-17,combo_relajado_pase1,20332,
8,176571,Hualqui,Concepcion,,,N/A,2025-10-17 06:55:47,2025-10-17 07:27:51,,2025-10-17,sin_combo_factible_en_hub|sin_s1_factible_retro,,
9,176682,Concepcion,Laguna Quinenco,20075,L2,V1,2025-10-17 19:17:49,2025-10-17 20:08:22,CC→CW,2025-10-17,,20075,20075
10,177227,Hito Galvarino,Concepcion,20010,L2,V1,2025-10-17 07:14:58,2025-10-17 08:09:30,CW→CC,2025-10-17,combo_por_entrada,20010,20010
11,177227,Concepcion,Hito Galvarino,20059,L2,V1,2025-10-17 17:17:44,2025-10-17 18:02:49,CC→CW,2025-10-17,,20059,20059
12,177453,Pedro Medina,Concepcion,20323,L1,V1,2025-10-17 16:35:55,2025-10-17 17:56:11,HQ→TH,2025-10-17,combo_por_entrada,20323,20323
13,177512,Los Condores,Concepcion,20304,L1,V2,2025-10-17 07:39:45,2025-10-17 07:56:28,,2025-10-17,sin_combo_factible_en_hub|sin_s1_factible_retro,,20304
14,177558,Concepcion,Pedro Medina,20324,L1,V1,2025-10-17 17:44:23,2025-10-17 18:13:16,TH→HQ,2025-10-17,,20324,20324
15,177715,Lomas Coloradas,Concepcion,20024,L2,V1,2025-10-17 09:25:13,2025-10-17 09:50:03,CW→CC,2025-10-17,,20024,20024
16,177715,Concepcion,Lomas Coloradas,20077,L2,V1,2025-10-17 19:24:17,2025-10-17 19:44:51,CC→CW,2025-10-17,,20077,20077
17,177730,Cdal. Raul Silva Henriquez,Costa Mar,20078,L2,V1,2025-10-17 19:17:54,2025-10-17 19:31:57,CW→CC,2025-10-17,,20078,20078
18,177765,Concepcion,El Parque,20041,L2,V1,2025-10-17 12:57:01,2025-10-17 13:20:48,CC→CW,2025-10-17,,20041,20041
19,177765,El Parque,Juan Pablo II,20192,L2,V1,2025-10-17 13:35:57,2025-10-17 13:59:49,CW→CC,2025-10-17,,20192,20192
20,178071,Manquimavida,El Arenal,20311,L1,V1,2025-10-17 09:14:18,2025-10-17 10:14:06,HQ→TH,2025-10-17,,20311,20311
21,178071,El Arenal,Manquimavida,20330,L1,V1,2025-10-17 19:23:02,2025-10-17 20:15:27,TH→HQ,2025-10-17,,20330,20330
22,178095,Concepcion,Cdal. Raul Silva Henriquez,20079,L2,V1,2025-10-17 19:52:50,2025-10-17 20:28:04,CC→CW,2025-10-17,,20079,20079
23,178208,Concepcion,Manquimavida,20326,L1,V1,2025-10-17 18:30:18,2025-10-17 18:55:56,TH→HQ,2025-10-17,,20326,20326
24,178897,Los Canelos,Concepcion,20016,L2,V1,2025-10-17 07:51:30,2025-10-17 09:28:01,CW→CC,2025-10-17,combo_por_entrada,20016,20016
25,178897,Concepcion,Los Canelos,20047,L2,V1,2025-10-17 13:45:24,2025-10-17 15:16:38,CC→CW,2025-10-17,,20047,20047
