viaje_idx,tarjeta_id,origen,destino,servicio_final,linea,version_que_gana,t_entrada_viaje,t_salida_viaje,direccion,dia_proceso,etiqueta,servicio_tramo_v1,servicio_tramo_v2,MONTO_TRANSACCION,tipo_pasajero_norm
0,175390,Concepcion,Costa Mar,20161,L2,V1,2026-01-31 18:22:05,2026-01-31 18:45:04,CC→CW,2026-01-31,,20161,20161,570,Monedero
1,175390,Concepcion,Costa Mar,20161,L2,V1,2026-01-31 18:22:27,2026-01-31 18:44:49,CC→CW,2026-01-31,,20161,20161,570,Monedero
2,176340,Pedro Medina,UTF Santa Maria,20331,L1,V1,2026-01-31 19:05:22,2026-01-31 19:41:45,HQ→TH,2026-01-31,,20331,20331,540,Monedero
3,176457,Higueras,Chiguayante,20847,L1,V1,2026-01-31 20:08:03,2026-01-31 20:46:12,TH→HQ,2026-01-31,,20847,20847,540,Monedero
4,176675,Cristo Redentor,Hito Galvarino,20144,L2,V1,2026-01-31 06:52:33,2026-01-31 07:15:57,CW→CC,2026-01-31,,20144,20144,460,Monedero
5,177521,Concepcion,Concepcion,,,N/A,2026-01-31 09:49:17,2026-01-31 09:50:31,,2026-01-31,no viajo,,,420,Monedero
6,177521,Concepcion,Concepcion,,,N/A,2026-01-31 20:04:41,2026-01-31 20:05:46,,2026-01-31,no viajo,,,420,Monedero
7,177558,Pedro Medina,UTF Santa Maria,20321,L1,V1,2026-01-31 16:09:24,2026-01-31 16:42:26,HQ→TH,2026-01-31,,20321,20321,540,Monedero
8,177558,UTF Santa Maria,Pedro Medina,20847,L1,V1,2026-01-31 19:34:49,2026-01-31 20:51:39,TH→HQ,2026-01-31,,20847,20847,540,Monedero
9,177738,Laguna Quinenco,Lomas Coloradas,20166,L2,V1,2026-01-31 19:06:53,2026-01-31 19:39:22,CW→CC,2026-01-31,,20166,20166,650,Monedero
10,177883,Cdal. Raul Silva Henriquez,Concepcion,20062,L2,V1,2026-01-31 13:52:16,2026-01-31 14:33:22,CW→CC,2026-01-31,,20062,20062,570,Monedero
11,177883,Concepcion,Cdal. Raul Silva Henriquez,20163,L2,V1,2026-01-31 18:36:01,2026-01-31 19:30:00,CC→CW,2026-01-31,,20163,20161,570,Monedero
12,179212,Lomas Coloradas,Concepcion,20066,L2,V1,2026-01-31 15:02:51,2026-01-31 15:23:59,CW→CC,2026-01-31,,20066,20066,570,Monedero
13,179212,Lomas Coloradas,Concepcion,20066,L2,V1,2026-01-31 15:03:04,2026-01-31 15:23:46,CW→CC,2026-01-31,,20066,20066,570,Monedero
14,179212,Costa Mar,Lomas Coloradas,20169,L2,V1,2026-01-31 20:46:14,2026-01-31 20:56:43,CC→CW,2026-01-31,,20169,20169,430,Monedero
15,179212,Costa Mar,Lomas Coloradas,20169,L2,V1,2026-01-31 20:46:33,2026-01-31 20:56:31,CC→CW,2026-01-31,,20169,20169,430,Monedero
16,180254,Concepcion,Laguna Quinenco,20063,L2,V1,2026-01-31 14:12:22,2026-01-31 15:16:22,CC→CW,2026-01-31,,20063,20063,880,Monedero
17,180279,Coronel,Hito Galvarino,20164,L2,V1,2026-01-31 18:36:36,2026-01-31 19:01:56,CW→CC,2026-01-31,,20164,20164,530,Monedero
18,180297,Lomas Coloradas,Costa Mar,20056,L2,V1,2026-01-31 12:36:54,2026-01-31 12:49:22,CW→CC,2026-01-31,,20056,20056,430,Monedero
19,180387,Cdal. Raul Silva Henriquez,Costa Mar,20048,L2,V1,2026-01-31 10:36:13,2026-01-31 11:08:49,CW→CC,2026-01-31,,20048,20048,430,Monedero
20,180460,Coronel,Concepcion,20066,L2,V1,2026-01-31 14:29:54,2026-01-31 15:28:06,CW→CC,2026-01-31,,20066,20066,880,Monedero
21,181233,La Leonera,Chiguayante,,,N/A,2026-01-31 20:54:57,2026-01-31 21:05:36,,2026-01-31,sin_combo_factible_en_hub|sin_s1_factible_retro,,,420,Monedero
22,184189,Laguna Quinenco,Huinca,20172,L2,V1,2026-01-31 20:50:30,2026-01-31 20:58:33,CW→CC,2026-01-31,,20172,20172,450,Monedero
23,184194,Huinca,Concepcion,20172,L2,V1,2026-01-31 20:51:30,2026-01-31 21:30:13,CW→CC,2026-01-31,,20172,20172,850,Monedero
24,184420,Lomas Coloradas,Diagonal Bio Bio,20068,L2,V1,2026-01-31 15:59:31,2026-01-31 16:13:53,CW→CC,2026-01-31,,20068,20068,510,Monedero
25,184420,Diagonal Bio Bio,Lomas Coloradas,20159,L2,V1,2026-01-31 17:52:54,2026-01-31 18:20:09,CC→CW,2026-01-31,,20159,20159,510,Monedero
26,185063,Concepcion,Coronel,20057,L2,V1,2026-01-31 12:29:59,2026-01-31 13:50:01,CC→CW,2026-01-31,,20057,20057,880,Monedero
