viaje_idx,tarjeta_id,origen,destino,servicio_final,linea,version_que_gana,t_entrada_viaje,t_salida_viaje,direccion,dia_proceso,etiqueta,servicio_tramo_v1,servicio_tramo_v2
0,169274,Concepcion,Concepcion,,,N/A,2025-08-28 17:55:11,2025-08-28 17:55:41,,2025-08-28,no viajo,,
1,169274,Concepcion,Concepcion,,,N/A,2025-08-28 18:24:39,2025-08-28 18:26:42,,2025-08-28,no viajo,,
2,174486,Laguna Quinenco,Juan Pablo II,20038,L2,V1,2025-08-28 11:37:06,2025-08-28 12:14:23,CW→CC,2025-08-28,,20038,20038
3,175490,Concepcion,Lomas Coloradas,20093,L2,V1,2025-08-28 21:35:40,2025-08-28 22:07:15,CC→CW,2025-08-28,,20093,20093
4,176240,Manquimavida,Concepcion,20301,L1,V1,2025-08-28 07:09:26,2025-08-28 07:57:59,HQ→TH,2025-08-28,combo_relajado_pase2,20301,20301
5,176483,Los Condores,Lzo. Arenas,20304,L1,V1,2025-08-28 07:40:51,2025-08-28 07:53:58,TH→HQ,2025-08-28,,20304,20304
6,176483,Lzo. Arenas,Concepcion,20328,L1,V1,2025-08-28 19:04:06,2025-08-28 19:43:57,TH→HQ,2025-08-28,,20328,20328
7,176483,Concepcion,Los Condores,20333,L1,V1,2025-08-28 20:32:59,2025-08-28 20:54:28,HQ→TH,2025-08-28,,20333,20333
8,176753,Lomas Coloradas,Hito Galvarino,20005,L2,V1,2025-08-28 07:20:48,2025-08-28 07:32:56,CC→CW,2025-08-28,,20005,20005
9,176753,Hito Galvarino,Lomas Coloradas,20068,L2,V1,2025-08-28 18:00:35,2025-08-28 18:13:14,CW→CC,2025-08-28,,20068,20068
10,177516,Chiguayante,Concepcion,20305,L1,V1,2025-08-28 07:35:25,2025-08-28 08:05:00,HQ→TH,2025-08-28,,20305,20305
11,177516,Concepcion,Chiguayante,20312,L1,V1,2025-08-28 10:17:39,2025-08-28 10:42:06,TH→HQ,2025-08-28,,20312,20312
12,177748,Concepcion,Cdal. Raul Silva Henriquez,20055,L2,V1,2025-08-28 16:37:27,2025-08-28 17:52:53,CC→CW,2025-08-28,,20055,20055
13,177864,Concepcion,Coronel,20069,L2,V1,2025-08-28 18:38:41,2025-08-28 19:29:03,CC→CW,2025-08-28,,20069,20069
14,178022,Concepcion,Los Condores,20325,L1,V1,2025-08-28 17:27:32,2025-08-28 17:58:10,HQ→TH,2025-08-28,,20325,20325
15,178096,Los Condores,Concepcion,20304,L1,V1,2025-08-28 07:39:26,2025-08-28 08:02:20,TH→HQ,2025-08-28,,20304,20304
16,178096,Concepcion,Los Condores,20309,L1,V1,2025-08-28 08:49:16,2025-08-28 09:21:09,HQ→TH,2025-08-28,,20309,20309
17,178897,Alborada,Los Canelos,20071,L2,V1,2025-08-28 18:56:58,2025-08-28 19:25:16,CC→CW,2025-08-28,,20071,20071
18,179433,Concepcion,Concepcion,,,N/A,2025-08-28 20:23:55,2025-08-28 20:33:32,,2025-08-28,no viajo,,
19,179458,Concepcion,Mercado,20301,L1,V1,2025-08-28 05:42:40,2025-08-28 07:26:44,HQ→TH,2025-08-28,combo_por_entrada,20301,20301
20,179458,Concepcion,Coronel,20073,L2,V1,2025-08-28 18:49:32,2025-08-28 20:05:57,CC→CW,2025-08-28,,20073,20073
21,179485,Concepcion,Costa Mar,20075,L2,V1,2025-08-28 19:19:21,2025-08-28 19:42:29,CC→CW,2025-08-28,,20075,20075
