viaje_idx,tarjeta_id,origen,destino,servicio_final,linea,version_que_gana,t_entrada_viaje,t_salida_viaje,direccion,dia_proceso,etiqueta,servicio_tramo_v1,servicio_tramo_v2,MONTO_TRANSACCION,tipo_pasajero_norm
0,174637,UTF Santa Maria,Lzo. Arenas,20304,L1,V1,2026-04-27 07:43:48,2026-04-27 07:54:41,TH→HQ,2026-04-27,,20304,20304,500,Monedero
1,175936,Los Canelos,Concepcion,20042,L2,V1,2026-04-27 10:02:41,2026-04-27 10:38:30,CW→CC,2026-04-27,,20042,20042,850,Monedero
2,175943,Laguna Quinenco,Concepcion,20056,L2,V1,2026-04-27 11:40:19,2026-04-27 12:59:57,CW→CC,2026-04-27,,20056,20054,880,Monedero
3,175943,Concepcion,Laguna Quinenco,20065,L2,V1,2026-04-27 15:08:42,2026-04-27 15:58:16,CC→CW,2026-04-27,,20065,20065,880,Monedero
4,175972,Huinca,Concepcion,20034,L2,V1,2026-04-27 09:01:47,2026-04-27 09:45:18,CW→CC,2026-04-27,,20034,20034,850,Monedero
5,176047,Huinca,Laguna Quinenco,20041,L2,V1,2026-04-27 10:55:36,2026-04-27 11:10:12,CC→CW,2026-04-27,,20041,20041,450,Monedero
6,176047,Laguna Quinenco,Huinca,20062,L2,V1,2026-04-27 13:30:14,2026-04-27 13:58:43,CW→CC,2026-04-27,,20062,20062,450,Monedero
7,176290,Higueras,Lzo. Arenas,20324,L1,V1,2026-04-27 17:32:27,2026-04-27 17:50:45,TH→HQ,2026-04-27,,20324,20324,500,Monedero
8,176541,Diagonal Bio Bio,Concepcion,20024,L2,V1,2026-04-27 08:18:03,2026-04-27 08:38:49,CW→CC,2026-04-27,,20024,20022,570,Monedero
9,177254,Los Condores,Concepcion,20865,L1,V1,2026-04-27 08:11:05,2026-04-27 08:28:11,TH→HQ,2026-04-27,,20865,20865,500,Monedero
10,177271,Concepcion,Mercado,20842,L1,V1,2026-04-27 07:54:27,2026-04-27 08:59:32,HQ→TH,2026-04-27,combo_por_entrada,20842,20022,590,Monedero
11,177271,Diagonal Bio Bio,Cdal. Raul Silva Henriquez,20073,L2,V1,2026-04-27 16:51:46,2026-04-27 17:18:59,CC→CW,2026-04-27,,20073,20071,510,Monedero
12,177437,Lomas Coloradas,Costa Mar,20056,L2,V1,2026-04-27 12:36:49,2026-04-27 12:43:30,CW→CC,2026-04-27,,20056,20056,430,Monedero
13,177792,Alborada,Huinca,20011,L2,V1,2026-04-27 07:49:34,2026-04-27 08:18:26,CC→CW,2026-04-27,,20011,20011,680,Monedero
14,177792,Huinca,Concepcion,20078,L2,V1,2026-04-27 16:19:52,2026-04-27 17:35:45,CW→CC,2026-04-27,,20078,20072,850,Monedero
15,178096,Los Condores,Concepcion,20865,L1,V1,2026-04-27 08:09:29,2026-04-27 08:26:36,TH→HQ,2026-04-27,,20865,20865,500,Monedero
16,178096,Concepcion,Los Condores,20377,L1,V1,2026-04-27 09:53:48,2026-04-27 10:16:22,HQ→TH,2026-04-27,,20377,20311,500,Monedero
17,179118,Concepcion,Lomas Coloradas,20075,L2,V1,2026-04-27 17:08:56,2026-04-27 17:32:44,CC→CW,2026-04-27,,20075,20075,570,Monedero
18,179169,Juan Pablo II,Concepcion,20112,L2,V1,2026-04-27 20:26:54,2026-04-27 20:53:27,CW→CC,2026-04-27,match_por_salida_fallback,20112,20112,560,Monedero
19,179485,Concepcion,Costa Mar,20107,L2,V1,2026-04-27 19:56:31,2026-04-27 20:15:04,CC→CW,2026-04-27,,20107,20107,570,Monedero
20,179514,Lomas Coloradas,Costa Mar,20056,L2,V1,2026-04-27 12:36:53,2026-04-27 12:43:55,CW→CC,2026-04-27,,20056,20056,430,Monedero
21,180116,Diagonal Bio Bio,Costa Mar,20069,L2,V1,2026-04-27 16:20:38,2026-04-27 16:37:35,CC→CW,2026-04-27,,20069,20069,510,Monedero
22,180387,Cdal. Raul Silva Henriquez,Concepcion,20028,L2,V1,2026-04-27 08:28:43,2026-04-27 09:15:38,CW→CC,2026-04-27,match_por_salida_fallback,20028,20371,590,Monedero
23,180387,Los Condores,Concepcion,20843,L1,V1,2026-04-27 11:51:21,2026-04-27 13:02:17,TH→HQ,2026-04-27,match_por_salida_fallback,20843,20843,900,Monedero
24,180393,Coronel,Juan Pablo II,20062,L2,V1,2026-04-27 13:46:42,2026-04-27 14:27:49,CW→CC,2026-04-27,,20062,20062,790,Monedero
25,180393,Concepcion,Coronel,20095,L2,V1,2026-04-27 18:52:23,2026-04-27 19:45:57,CC→CW,2026-04-27,,20095,20093,880,Monedero
26,180457,Huinca,Los Canelos,20036,L2,V1,2026-04-27 09:24:02,2026-04-27 11:03:16,CW→CC,2026-04-27,,20036,20036,460,Monedero
27,180619,Costa Mar,Coronel,20011,L2,V1,2026-04-27 07:55:47,2026-04-27 08:26:56,CC→CW,2026-04-27,,20011,20011,650,Monedero
28,181209,Coronel,Concepcion,20020,L2,V1,2026-04-27 07:33:05,2026-04-27 08:25:47,CW→CC,2026-04-27,,20020,20020,880,Monedero
29,181209,Concepcion,Coronel,20051,L2,V1,2026-04-27 11:40:30,2026-04-27 12:27:53,CC→CW,2026-04-27,,20051,20051,880,Monedero
30,181228,Costa Mar,Huinca,20063,L2,V1,2026-04-27 14:40:32,2026-04-27 15:14:23,CC→CW,2026-04-27,,20063,20063,630,Monedero
31,182265,Los Canelos,Concepcion,20198,L2,V1,2026-04-27 07:05:31,2026-04-27 07:44:33,CW→CC,2026-04-27,,20198,20198,850,Monedero
32,182383,Concepcion,Lomas Coloradas,20071,L2,V1,2026-04-27 16:31:03,2026-04-27 17:02:15,CC→CW,2026-04-27,,20071,20071,570,Monedero
33,184323,Costa Mar,Concepcion,20064,L2,V1,2026-04-27 14:58:18,2026-04-27 15:17:44,CW→CC,2026-04-27,,20064,20064,570,Monedero
34,184323,Concepcion,Mercado,20321,L1,V1,2026-04-27 16:22:16,2026-04-27 17:00:10,HQ→TH,2026-04-27,,20321,20321,540,Monedero
35,184440,Concepcion,Manquimavida,20324,L1,V1,2026-04-27 17:53:55,2026-04-27 18:18:41,TH→HQ,2026-04-27,,20324,20324,510,Monedero
36,185104,Lomas Coloradas,Huinca,20015,L2,V1,2026-04-27 08:09:38,2026-04-27 08:28:44,CC→CW,2026-04-27,,20015,20015,630,Monedero
37,185104,Huinca,Lomas Coloradas,20104,L2,V1,2026-04-27 19:02:58,2026-04-27 19:21:20,CW→CC,2026-04-27,,20104,20104,630,Monedero
