viaje_idx,tarjeta_id,origen,destino,servicio_final,linea,version_que_gana,t_entrada_viaje,t_salida_viaje,direccion,dia_proceso,etiqueta,servicio_tramo_v1,servicio_tramo_v2,MONTO_TRANSACCION,tipo_pasajero_norm
0,177227,Concepcion,Hito Galvarino,20163.0,L2,V1,2026-06-27 18:45:54,2026-06-27 19:30:25,CC→CW,2026-06-27,,20163.0,20163.0,850,Monedero
1,178158,Concepcion,Lomas Coloradas,20067.0,L2,V1,2026-06-27 15:21:24,2026-06-27 15:52:32,CC→CW,2026-06-27,,20067.0,20067.0,570,Monedero
2,178158,Lomas Coloradas,Juan Pablo II,20168.0,L2,V1,2026-06-27 20:01:01,2026-06-27 20:22:22,CW→CC,2026-06-27,,20168.0,20168.0,510,Monedero
3,179376,Concepcion,La Leonera,20326.0,L1,V1,2026-06-27 18:03:32,2026-06-27 18:49:41,TH→HQ,2026-06-27,,20326.0,,510,Monedero
4,179384,Higueras,Pedro Medina,20857.0,L1,V1,2026-06-27 08:34:30,2026-06-27 09:14:04,TH→HQ,2026-06-27,,20857.0,,540,Monedero
5,179514,Lomas Coloradas,Concepcion,20052.0,L2,V1,2026-06-27 11:32:50,2026-06-27 12:05:39,CW→CC,2026-06-27,,20052.0,20052.0,570,Monedero
6,179514,Concepcion,Lomas Coloradas,20063.0,L2,V1,2026-06-27 14:22:29,2026-06-27 14:58:24,CC→CW,2026-06-27,,20063.0,20063.0,570,Monedero
7,181450,Concepcion,Laguna Quinenco,20037.0,L2,V1,2026-06-27 10:05:13,2026-06-27 11:10:08,CC→CW,2026-06-27,,20037.0,20037.0,880,Monedero
8,181469,Lomas Coloradas,Concepcion,20044.0,L2,V1,2026-06-27 10:22:25,2026-06-27 10:50:45,CW→CC,2026-06-27,,20044.0,20044.0,570,Monedero
9,181469,Concepcion,Lomas Coloradas,20049.0,L2,V1,2026-06-27 11:12:42,2026-06-27 11:50:01,CC→CW,2026-06-27,,20049.0,20049.0,570,Monedero
10,182476,UTF Santa Maria,Concepcion,20845.0,L1,V1,2026-06-27 15:41:08,2026-06-27 17:09:37,TH→HQ,2026-06-27,combo_por_entrada,20845.0,20845.0,870,Monedero
11,184120,Coronel,Concepcion,20044.0,L2,V1,2026-06-27 10:00:24,2026-06-27 10:51:16,CW→CC,2026-06-27,,20044.0,20044.0,880,Monedero
