viaje_idx,tarjeta_id,origen,destino,servicio_final,linea,version_que_gana,t_entrada_viaje,t_salida_viaje,direccion,dia_proceso,etiqueta,servicio_tramo_v1,servicio_tramo_v2
0,174637,UTF Santa Maria,Lzo. Arenas,20304,L1,V1,2025-09-15 07:46:08,2025-09-15 07:51:33,TH→HQ,2025-09-15,,20304,20304
1,176192,Huinca,Juan Pablo II,20072,L2,V1,2025-09-15 18:21:53,2025-09-15 19:04:02,CW→CC,2025-09-15,,20072,20072
2,176483,Los Condores,Lzo. Arenas,20304,L1,V1,2025-09-15 07:40:19,2025-09-15 07:51:50,TH→HQ,2025-09-15,,20304,20304
3,176643,Costa Mar,Concepcion,20010,L2,V1,2025-09-15 07:24:35,2025-09-15 07:59:27,CW→CC,2025-09-15,,20010,20010
4,177382,Concepcion,Coronel,20059,L2,V1,2025-09-15 17:21:35,2025-09-15 18:13:15,CC→CW,2025-09-15,,20059,20059
5,177382,Coronel,Concepcion,20078,L2,V1,2025-09-15 18:45:15,2025-09-15 19:47:27,CW→CC,2025-09-15,,20078,20078
6,177512,Los Condores,Concepcion,20304,L1,V1,2025-09-15 07:36:47,2025-09-15 07:56:23,TH→HQ,2025-09-15,,20304,20304
7,177738,Concepcion,Lomas Coloradas,20081,L2,V1,2025-09-15 20:06:31,2025-09-15 20:57:47,CC→CW,2025-09-15,,20081,20081
8,177792,Costa Mar,Huinca,20065,L2,V1,2025-09-15 18:16:25,2025-09-15 18:43:04,CC→CW,2025-09-15,,20065,20065
9,177968,Manquimavida,Concepcion,20371,L1,V2,2025-09-15 07:24:14,2025-09-15 07:45:05,,2025-09-15,sin_combo_factible_en_hub|sin_s1_factible_retro,,20371
10,177968,Concepcion,Manquimavida,20310,L1,V1,2025-09-15 09:18:02,2025-09-15 09:47:31,TH→HQ,2025-09-15,,20310,20310
11,178208,Concepcion,Manquimavida,20330,L1,V1,2025-09-15 19:52:09,2025-09-15 20:16:01,TH→HQ,2025-09-15,,20330,
12,178826,Los Canelos,Coronel,20037,L2,V1,2025-09-15 12:19:06,2025-09-15 12:33:22,CC→CW,2025-09-15,,20037,20037
13,178826,Coronel,Los Canelos,20042,L2,V1,2025-09-15 12:36:38,2025-09-15 12:49:00,CW→CC,2025-09-15,,20042,20042
14,178897,Los Canelos,Alborada,20040,L2,V1,2025-09-15 12:16:18,2025-09-15 12:45:46,CW→CC,2025-09-15,,20040,20040
15,178897,Alborada,Los Canelos,20065,L2,V1,2025-09-15 18:16:01,2025-09-15 18:37:04,CC→CW,2025-09-15,,20065,20065
16,178960,Huinca,Lomas Coloradas,20042,L2,V1,2025-09-15 12:31:02,2025-09-15 13:02:19,CW→CC,2025-09-15,,20042,20040
17,178960,Lomas Coloradas,Huinca,20069,L2,V1,2025-09-15 18:45:03,2025-09-15 19:14:27,CC→CW,2025-09-15,,20069,20069
18,179197,Concepcion,Huinca,20079,L2,V1,2025-09-15 19:50:38,2025-09-15 20:34:56,CC→CW,2025-09-15,,20079,20079
19,180297,Costa Mar,Lomas Coloradas,20059,L2,V1,2025-09-15 17:33:40,2025-09-15 17:44:25,CC→CW,2025-09-15,,20059,20059
20,180297,Lomas Coloradas,Costa Mar,20084,L2,V1,2025-09-15 20:05:57,2025-09-15 20:14:57,CW→CC,2025-09-15,,20084,20084
21,180362,Costa Mar,Hito Galvarino,20011,L2,V1,2025-09-15 08:29:02,2025-09-15 08:50:20,CC→CW,2025-09-15,,20011,20011
22,180387,Cdal. Raul Silva Henriquez,Concepcion,20012,L2,V1,2025-09-15 07:45:06,2025-09-15 08:35:00,CW→CC,2025-09-15,combo_por_entrada,20012,20198
23,180387,Los Condores,Concepcion,20326,L1,V1,2025-09-15 18:07:02,2025-09-15 19:01:23,TH→HQ,2025-09-15,combo_por_entrada,20326,20326
24,180558,Higueras,Concepcion,20322,L1,V1,2025-09-15 17:07:11,2025-09-15 17:32:08,TH→HQ,2025-09-15,,20322,20322
25,180623,Diagonal Bio Bio,Lomas Coloradas,20035,L2,V1,2025-09-15 11:23:04,2025-09-15 11:35:55,CC→CW,2025-09-15,,20035,20035
26,180623,Lomas Coloradas,Coronel,20041,L2,V1,2025-09-15 13:16:53,2025-09-15 13:46:49,CC→CW,2025-09-15,,20041,20041
27,180623,Coronel,Lomas Coloradas,20068,L2,V1,2025-09-15 17:41:47,2025-09-15 18:11:52,CW→CC,2025-09-15,,20068,20068
28,181176,Diagonal Bio Bio,Concepcion,20078,L2,V1,2025-09-15 19:16:17,2025-09-15 19:48:00,CW→CC,2025-09-15,,20078,20078
29,181262,Lomas Coloradas,Cristo Redentor,20041,L2,V1,2025-09-15 13:16:50,2025-09-15 13:40:02,CC→CW,2025-09-15,,20041,20041
30,181262,Cristo Redentor,Lomas Coloradas,20050,L2,V1,2025-09-15 14:14:07,2025-09-15 15:08:13,CW→CC,2025-09-15,,20050,20050
31,182349,Huinca,Diagonal Bio Bio,20002,L2,V1,2025-09-15 06:02:34,2025-09-15 06:32:49,CW→CC,2025-09-15,,20002,20002
32,182390,Concepcion,Cristo Redentor,20021,L2,V1,2025-09-15 09:17:35,2025-09-15 09:57:56,CC→CW,2025-09-15,,20021,20021
33,182395,Cristo Redentor,Los Canelos,20024,L2,V1,2025-09-15 08:56:37,2025-09-15 09:18:06,CW→CC,2025-09-15,,20024,20024
34,183301,El Parque,Hito Galvarino,20063,L2,V1,2025-09-15 17:54:45,2025-09-15 18:27:59,CC→CW,2025-09-15,,20063,20063
35,183330,Coronel,Concepcion,20060,L2,V1,2025-09-15 16:26:30,2025-09-15 17:24:40,CW→CC,2025-09-15,,20060,20060
36,183330,Concepcion,Cristo Redentor,20067,L2,V1,2025-09-15 18:11:19,2025-09-15 19:18:10,CC→CW,2025-09-15,,20067,20067
37,183449,Concepcion,Cdal. Raul Silva Henriquez,20037,L2,V1,2025-09-15 11:33:54,2025-09-15 12:12:55,CC→CW,2025-09-15,,20037,20037
38,184184,UTF Santa Maria,El Arenal,20355,L1,V1,2025-09-15 08:26:49,2025-09-15 08:42:14,HQ→TH,2025-09-15,,20355,20355
39,184194,Huinca,Concepcion,20038,L2,V1,2025-09-15 11:31:20,2025-09-15 12:23:40,CW→CC,2025-09-15,,20038,20038
40,185221,Cristo Redentor,Concepcion,20046,L2,V1,2025-09-15 13:44:51,2025-09-15 14:52:36,CW→CC,2025-09-15,,20046,20046
41,186860,Mercado,La Leonera,20322,L1,V1,2025-09-15 16:49:27,2025-09-15 17:50:28,TH→HQ,2025-09-15,,20322,20322
42,187616,Lomas Coloradas,Concepcion,20050,L2,V1,2025-09-15 15:00:28,2025-09-15 15:31:47,CW→CC,2025-09-15,,20050,20050
43,187616,Concepcion,Lomas Coloradas,20085,L2,V1,2025-09-15 20:23:32,2025-09-15 21:06:08,CC→CW,2025-09-15,,20085,20085
44,189227,Concepcion,Juan Pablo II,20085,L2,V1,2025-09-15 20:09:48,2025-09-15 20:45:27,CC→CW,2025-09-15,,20085,20081
45,189802,Cdal. Raul Silva Henriquez,Concepcion,20024,L2,V1,2025-09-15 09:15:30,2025-09-15 09:52:29,CW→CC,2025-09-15,,20024,20024
46,189802,Concepcion,Cdal. Raul Silva Henriquez,20039,L2,V1,2025-09-15 12:12:49,2025-09-15 12:49:54,CC→CW,2025-09-15,,20039,20039
47,189802,Cdal. Raul Silva Henriquez,Concepcion,20060,L2,V1,2025-09-15 16:50:06,2025-09-15 17:23:27,CW→CC,2025-09-15,,20060,20060
