viaje_idx,tarjeta_id,origen,destino,servicio_final,linea,version_que_gana,t_entrada_viaje,t_salida_viaje,direccion,dia_proceso,etiqueta,servicio_tramo_v1,servicio_tramo_v2
0,174472,Concepcion,Huinca,20161,L2,V1,2025-12-13 12:04:49,2025-12-13 12:53:18,CC→CW,2025-12-13,,20161,20161
1,174472,Huinca,Concepcion,20180,L2,V1,2025-12-13 18:43:39,2025-12-13 19:38:15,CW→CC,2025-12-13,combo_por_entrada,20180,20180
2,175445,Huinca,Juan Pablo II,20160,L2,V1,2025-12-13 11:35:53,2025-12-13 12:08:07,CW→CC,2025-12-13,,20160,20160
3,176411,Huinca,Costa Mar,20144,L2,V1,2025-12-13 07:05:56,2025-12-13 07:43:02,CW→CC,2025-12-13,,20144,20144
4,176411,Costa Mar,Huinca,20171,L2,V1,2025-12-13 16:27:51,2025-12-13 17:16:04,CC→CW,2025-12-13,,20171,20171
5,176457,Higueras,Chiguayante,20847,L1,V1,2025-12-13 20:06:16,2025-12-13 20:43:25,TH→HQ,2025-12-13,,20847,20847
6,177512,Los Condores,Concepcion,20857,L1,V1,2025-12-13 08:32:55,2025-12-13 08:57:56,TH→HQ,2025-12-13,,20857,20857
7,177634,Hito Galvarino,Costa Mar,20188,L2,V1,2025-12-13 20:34:52,2025-12-13 21:16:17,CW→CC,2025-12-13,,20188,20186
8,177656,UTF Santa Maria,Lzo. Arenas,20328,L1,V1,2025-12-13 19:12:14,2025-12-13 19:19:42,TH→HQ,2025-12-13,,20328,20328
9,178096,Los Condores,Concepcion,20857,L1,V1,2025-12-13 08:40:36,2025-12-13 09:05:26,TH→HQ,2025-12-13,,20857,20857
10,179223,Costa Mar,Lomas Coloradas,20175,L2,V1,2025-12-13 18:00:20,2025-12-13 18:19:41,CC→CW,2025-12-13,,20175,20175
11,180292,Concepcion,Coronel,20187,L2,V1,2025-12-13 20:56:33,2025-12-13 21:47:40,CC→CW,2025-12-13,,20187,20187
12,180297,Lomas Coloradas,Costa Mar,20168,L2,V1,2025-12-13 15:01:22,2025-12-13 15:11:57,CW→CC,2025-12-13,,20168,20168
13,180562,Los Canelos,Costa Mar,20156,L2,V1,2025-12-13 10:43:56,2025-12-13 11:03:21,CW→CC,2025-12-13,,20156,20156
14,180562,Costa Mar,Huinca,20165,L2,V1,2025-12-13 13:26:50,2025-12-13 13:51:51,CC→CW,2025-12-13,,20165,20165
15,180629,Laguna Quinenco,Hito Galvarino,20146,L2,V1,2025-12-13 07:43:33,2025-12-13 07:59:14,CW→CC,2025-12-13,,20146,20146
16,181332,La Leonera,Concepcion,20321,L1,V1,2025-12-13 17:05:36,2025-12-13 17:54:00,HQ→TH,2025-12-13,combo_relajado_pase3,20321,20321
17,181332,Cdal. Raul Silva Henriquez,Concepcion,20176,L2,V1,2025-12-13 17:56:53,2025-12-13 18:49:06,CW→CC,2025-12-13,match_por_salida_fallback,20176,20176
18,181350,Laguna Quinenco,Juan Pablo II,20172,L2,V1,2025-12-13 16:46:40,2025-12-13 17:20:10,CW→CC,2025-12-13,,20172,20172
19,181464,Costa Mar,Lomas Coloradas,20173,L2,V1,2025-12-13 17:39:50,2025-12-13 17:50:50,CC→CW,2025-12-13,,20173,20173
20,182349,Coronel,Concepcion,20168,L2,V1,2025-12-13 14:32:40,2025-12-13 15:27:21,CW→CC,2025-12-13,,20168,20168
21,182349,Concepcion,Los Canelos,20171,L2,V1,2025-12-13 16:30:33,2025-12-13 17:14:50,CC→CW,2025-12-13,,20171,20171
22,182470,Laguna Quinenco,Concepcion,20144,L2,V1,2025-12-13 06:52:42,2025-12-13 07:57:21,CW→CC,2025-12-13,,20144,20142
23,182470,Hualqui,Concepcion,20327,L1,V1,2025-12-13 18:51:04,2025-12-13 20:11:47,HQ→TH,2025-12-13,combo_relajado_pase3,20327,20327
24,184194,Concepcion,Huinca,20189,L2,V1,2025-12-13 21:12:19,2025-12-13 22:09:55,CC→CW,2025-12-13,,20189,20189
25,185164,Lomas Coloradas,Concepcion,20146,L2,V1,2025-12-13 08:06:24,2025-12-13 08:28:00,CW→CC,2025-12-13,,20146,20146
26,185167,Concepcion,Chiguayante,20847,L1,V1,2025-12-13 19:47:44,2025-12-13 20:45:25,TH→HQ,2025-12-13,,20847,20847
27,185947,Laguna Quinenco,Concepcion,20176,L2,V1,2025-12-13 17:42:47,2025-12-13 18:27:13,CW→CC,2025-12-13,,20176,20176
28,186052,Hualqui,UTF Santa Maria,20341,L1,V1,2025-12-13 08:58:23,2025-12-13 09:43:43,HQ→TH,2025-12-13,,20341,20341
29,189710,Coronel,Costa Mar,20182,L2,V1,2025-12-13 19:03:33,2025-12-13 19:44:48,CW→CC,2025-12-13,,20182,20182
30,189802,Concepcion,Cdal. Raul Silva Henriquez,20167,L2,V1,2025-12-13 14:03:45,2025-12-13 15:00:15,CC→CW,2025-12-13,,20167,20167
31,189842,Lomas Coloradas,Concepcion,20162,L2,V1,2025-12-13 12:10:51,2025-12-13 13:02:08,CW→CC,2025-12-13,,20162,20162
32,191125,Hito Galvarino,Los Canelos,20143,L2,V1,2025-12-13 07:50:53,2025-12-13 08:04:28,CC→CW,2025-12-13,,20143,20143
33,191322,Cdal. Raul Silva Henriquez,Concepcion,20146,L2,V1,2025-12-13 08:29:05,2025-12-13 09:19:33,CW→CC,2025-12-13,combo_relajado_pase1,20146,20146
34,191395,Huinca,Concepcion,20170,L2,V1,2025-12-13 15:42:44,2025-12-13 16:22:59,CW→CC,2025-12-13,,20170,20170
35,192386,Concepcion,Higueras,20848,L1,V1,2025-12-13 20:29:44,2025-12-13 21:19:24,HQ→TH,2025-12-13,,20848,20848
36,192431,Concepcion,Cristo Redentor,20175,L2,V1,2025-12-13 17:40:00,2025-12-13 18:36:35,CC→CW,2025-12-13,,20175,20175
37,193987,Laguna Quinenco,Juan Pablo II,20142,L2,V1,2025-12-13 06:37:56,2025-12-13 07:20:32,CW→CC,2025-12-13,,20142,20142
38,193987,Juan Pablo II,Laguna Quinenco,20161,L2,V1,2025-12-13 12:19:29,2025-12-13 12:59:06,CC→CW,2025-12-13,,20161,20161
39,193989,Concepcion,Lomas Coloradas,20163,L2,V1,2025-12-13 12:49:20,2025-12-13 13:25:12,CC→CW,2025-12-13,,20163,20163
40,194020,Cristo Redentor,Coronel,20161,L2,V1,2025-12-13 12:26:00,2025-12-13 13:04:32,CC→CW,2025-12-13,,20161,20161
41,194077,Hito Galvarino,Coronel,20143,L2,V1,2025-12-13 07:41:41,2025-12-13 08:12:53,CC→CW,2025-12-13,,20143,20143
42,195568,Lomas Coloradas,Diagonal Bio Bio,20174,L2,V1,2025-12-13 17:33:44,2025-12-13 17:45:49,CW→CC,2025-12-13,,20174,20174
43,200315,Concepcion,Lomas Coloradas,20143,L2,V1,2025-12-13 07:16:58,2025-12-13 07:50:02,CC→CW,2025-12-13,,20143,20143
