fecha,linea,direccion,servicio,estacion,t_arr_est,t_dep_est,capacidad_tren,A_llegadas_anden,D_bajadas,Demanda_anden,Capacidad_disponible,B_embarque,R_quedados,Q_out_cola,L_in_abordo,L_out_abordo
2026-01-03,L1,HQ→TH,20321.0,Hualqui,,2026-01-03 15:47:00,780.0,17,0,17.0,780.0,17.0,0.0,0.0,0.0,17.0
2026-01-03,L1,HQ→TH,20321.0,Los Condores,2026-01-03 16:46:00,2026-01-03 15:59:00,780.0,1,2,1.0,765.0,1.0,0.0,0.0,17.0,16.0
2026-01-03,L1,HQ→TH,20321.0,La Leonera,2026-01-03 16:12:00,2026-01-03 16:06:00,780.0,12,1,12.0,765.0,12.0,0.0,0.0,16.0,27.0
2026-01-03,L1,HQ→TH,20321.0,Manquimavida,,2026-01-03 16:07:00,780.0,11,0,11.0,753.0,11.0,0.0,0.0,27.0,38.0
2026-01-03,L1,HQ→TH,20321.0,Chiguayante,,2026-01-03 16:12:00,780.0,8,0,8.0,742.0,8.0,0.0,0.0,38.0,46.0
2026-01-03,L1,HQ→TH,20321.0,Pedro Medina,,2026-01-03 16:13:00,780.0,9,0,9.0,734.0,9.0,0.0,0.0,46.0,55.0
2026-01-03,L1,HQ→TH,20321.0,Concepcion,2026-01-03 16:31:00,2026-01-03 16:14:00,780.0,15,41,15.0,766.0,15.0,0.0,0.0,55.0,29.0
2026-01-03,L1,HQ→TH,20321.0,Lzo. Arenas,2026-01-03 16:38:00,2026-01-03 16:14:00,780.0,1,2,1.0,753.0,1.0,0.0,0.0,29.0,28.0
2026-01-03,L1,HQ→TH,20321.0,UTF Santa Maria,2026-01-03 16:42:00,,780.0,0,3,0.0,755.0,0.0,0.0,0.0,28.0,25.0
2026-01-03,L1,HQ→TH,20321.0,Higueras,2026-01-03 16:49:00,,780.0,0,6,0.0,761.0,0.0,0.0,0.0,25.0,19.0
2026-01-03,L1,HQ→TH,20321.0,El Arenal,2026-01-03 16:53:30,,780.0,0,2,0.0,763.0,0.0,0.0,0.0,19.0,17.0
2026-01-03,L1,HQ→TH,20321.0,Mercado,2026-01-03 16:57:00,,780.0,0,17,0.0,780.0,0.0,0.0,0.0,17.0,0.0
