FECHA_TRANSACCION,NUMERO_TARJETA,MONTO_TRANSACCION
2026-04-11T06:27:20,2000091970,420
2026-04-11T06:33:41,1302813,440
2026-04-11T06:35:51,2000008409,450
2026-04-11T06:37:50,312685653,150
2026-04-11T06:39:54,54322334,530
2026-04-11T06:39:55,2100006303,0
2026-04-11T06:40:26,54490369,460
2026-04-11T06:42:00,1241921,450
2026-04-11T06:42:51,2000196733,460
2026-04-11T06:42:56,54442415,530
2026-04-11T06:42:56,2000118110,530
2026-04-11T06:43:00,2000226632,530
2026-04-11T06:43:00,53049291,270
2026-04-11T06:43:10,2106003313,0
2026-04-11T06:43:13,54476645,530
2026-04-11T06:43:22,2000107439,440
2026-04-11T06:43:23,2000192098,460
2026-04-11T06:43:35,2100004623,220
2026-04-11T06:45:54,1595980,420
2026-04-11T06:51:21,2000243971,650
2026-04-11T06:52:00,1595984,420
2026-04-11T06:52:48,1571190,570
2026-04-11T06:52:56,53044862,0
2026-04-11T06:52:58,665474,630
2026-04-11T06:53:02,54515321,650
2026-04-11T06:53:09,2000197544,610
2026-04-11T06:53:15,54603709,650
2026-04-11T06:53:31,53044786,320
2026-04-11T06:53:32,2106006698,0
2026-04-11T06:53:40,1239190,650
2026-04-11T06:53:57,784428,430
2026-04-11T06:55:07,1313681,420
2026-04-11T06:56:06,2000058669,630
2026-04-11T06:56:06,2040103787,650
2026-04-11T06:56:10,53051649,310
2026-04-11T06:56:12,2000162962,430
2026-04-11T06:56:13,2000190428,630
2026-04-11T06:56:17,1570388,650
2026-04-11T06:56:18,54506245,630
2026-04-11T06:56:25,1495890,610
2026-04-11T06:56:25,54596483,610
2026-04-11T06:56:25,2000160668,650
2026-04-11T06:56:33,54571888,650
2026-04-11T06:56:36,53049630,320
2026-04-11T06:56:38,54431188,630
2026-04-11T06:58:09,2000201746,440
2026-04-11T06:58:10,54527241,440
2026-04-11T06:58:11,53050423,330
2026-04-11T06:58:13,1474152,630
2026-04-11T06:58:18,312515507,210
2026-04-11T06:58:26,53055608,320
2026-04-11T06:58:28,2000195275,650
2026-04-11T06:58:46,1544338,610
2026-04-11T06:58:47,2000006720,610
2026-04-11T06:58:52,2040092030,650
2026-04-11T06:59:56,2000164127,510
2026-04-11T06:59:58,312621912,190
2026-04-11T07:00:30,232490819,0
2026-04-11T07:00:31,2106006639,0
2026-04-11T07:02:41,2000160105,570
2026-04-11T07:02:42,1130755,430
2026-04-11T07:02:44,2000214883,570
2026-04-11T07:02:45,1351054,570
2026-04-11T07:02:48,1361217,790
2026-04-11T07:02:51,2000209140,570
2026-04-11T07:02:53,2000196534,570
2026-04-11T07:02:58,54498640,510
2026-04-11T07:02:59,2000224728,510
2026-04-11T07:03:03,2000202042,790
2026-04-11T07:03:04,1548385,650
2026-04-11T07:03:05,54544629,510
2026-04-11T07:03:08,312636777,260
2026-04-11T07:03:08,2000202042,790
