tarjeta_id,origen,linea_entrada,fecha_entrada,terminal_entrada,destino,linea_salida,fecha_salida,terminal_salida,tipo_salida,direccion,tipo_tarjeta,contrato1
142142,Lomas Coloradas,L2,2026-03-06 10:57:10,20231501,Concepcion,L2,2026-03-06 11:25:04,20221516,Salida,CW→CC,EMV,
175943,Laguna Quinenco,L2,2026-03-06 11:29:42,20233303,Concepcion,L2,2026-03-06 12:22:10,20221507,Salida,CW→CC,QR,
175943,Concepcion,L2,2026-03-06 13:59:32,20221502,Laguna Quinenco,L2,2026-03-06 15:23:20,20233302,Salida,CC→CW,QR,
176097,Concepcion,L2,2026-03-06 11:23:21,20221502,Huinca,L2,2026-03-06 12:07:40,20232701,Salida,CC→CW,QR,
176113,Huinca,L2,2026-03-06 08:01:12,20232706,Mercado,L1,2026-03-06 09:26:13,20223601,Salida,L2→L1,QR,
176113,Mercado,L1,2026-03-06 16:47:00,20223601,Los Canelos,L2,2026-03-06 18:05:14,20232406,Salida,L1→L2,QR,
176255,Higueras,L1,2026-03-06 08:37:10,20223003,Cristo Redentor,L2,2026-03-06 09:40:48,20233002,Salida,L1→L2,QR,
177208,Concepcion,L2,2026-03-06 17:37:22,20221515,Coronel,L2,2026-03-06 18:30:27,20233604,Salida,CC→CW,QR,
177383,El Parque,L2,2026-03-06 20:14:25,20231204,Lomas Coloradas,L2,2026-03-06 20:21:45,20231504,Salida,CC→CW,QR,
177521,Concepcion,,2026-03-06 09:42:48,20221502,Concepcion,,2026-03-06 09:47:00,20221801,Salida,,QR,
177714,Cdal. Raul Silva Henriquez,L2,2026-03-06 21:12:52,20231801,Diagonal Bio Bio,L2,2026-03-06 21:30:49,20230303,Salida,CW→CC,QR,
177730,Cdal. Raul Silva Henriquez,L2,2026-03-06 08:10:20,20231803,Juan Pablo II,L2,2026-03-06 08:39:38,20230002,Salida,CW→CC,QR,
177730,Juan Pablo II,L2,2026-03-06 09:55:00,20230005,Lomas Coloradas,L2,2026-03-06 10:10:16,20231504,Salida,CC→CW,QR,
177842,Lomas Coloradas,L2,2026-03-06 21:13:38,20231503,Diagonal Bio Bio,L2,2026-03-06 21:31:13,20230303,Salida,CW→CC,QR,
178022,Los Condores,L1,2026-03-06 12:05:32,20222702,Concepcion,L1,2026-03-06 12:24:40,20221801,Salida,TH→HQ,QR,
178022,Concepcion,L1,2026-03-06 19:22:20,20221505,Los Condores,L1,2026-03-06 19:47:05,20222702,Salida,HQ→TH,QR,
178057,Coronel,L2,2026-03-06 11:39:10,20233601,Cristo Redentor,L2,2026-03-06 12:26:26,20233006,Salida,CW→CC,QR,
178071,Manquimavida,L1,2026-03-06 09:21:51,20220602,El Arenal,L1,2026-03-06 10:13:27,20223301,Salida,HQ→TH,QR,
178071,El Arenal,L1,2026-03-06 19:25:57,20223301,Manquimavida,L1,2026-03-06 20:14:51,20220601,Salida,TH→HQ,QR,
178095,Cdal. Raul Silva Henriquez,L2,2026-03-06 13:39:59,20231802,Coronel,L2,2026-03-06 14:02:33,20233603,Salida,CC→CW,QR,
179284,Cdal. Raul Silva Henriquez,L2,2026-03-06 07:29:47,20231801,Diagonal Bio Bio,L2,2026-03-06 07:48:26,20230303,Salida,CW→CC,QR,
179295,Concepcion,L2,2026-03-06 20:09:45,20221506,Cdal. Raul Silva Henriquez,L2,2026-03-06 20:40:29,20231801,Salida,CC→CW,QR,
179458,Concepcion,L2,2026-03-06 13:03:35,20221515,Coronel,L2,2026-03-06 13:48:05,20233604,Salida,CC→CW,QR,
179474,Concepcion,L1,2026-03-06 17:26:36,20221801,Manquimavida,L1,2026-03-06 17:46:34,20220601,Salida,TH→HQ,QR,
180377,Huinca,L2,2026-03-06 18:37:49,20232702,Juan Pablo II,L2,2026-03-06 19:17:50,20230004,Salida,CW→CC,QR,
180387,Cdal. Raul Silva Henriquez,L2,2026-03-06 09:03:29,20231801,Los Condores,L1,2026-03-06 09:46:10,20222702,Salida,L2→L1,QR,
180446,Cristo Redentor,L2,2026-03-06 07:24:05,20233002,Lomas Coloradas,L2,2026-03-06 07:50:09,20231504,Salida,CW→CC,QR,
181341,Coronel,L2,2026-03-06 07:22:33,20233601,Concepcion,L2,2026-03-06 08:11:53,20221510,Salida,CW→CC,QR,
181341,Concepcion,L2,2026-03-06 16:14:49,20221510,Coronel,L2,2026-03-06 17:32:34,20233603,Salida,CC→CW,QR,
181542,Lzo. Arenas,L1,2026-03-06 17:23:05,20222102,Higueras,L1,2026-03-06 17:49:56,20223003,Salida,HQ→TH,QR,
182265,Los Canelos,L2,2026-03-06 07:04:05,20232403,Lzo. Arenas,L1,2026-03-06 07:56:14,20222103,Salida,L2→L1,QR,
182383,Lomas Coloradas,L2,2026-03-06 07:28:59,20231501,Mercado,L1,2026-03-06 08:28:27,20223602,Salida,L2→L1,QR,
183372,Los Condores,L1,2026-03-06 06:38:24,20222701,Hualqui,L1,2026-03-06 07:29:56,20220002,Salida,TH→HQ,QR,
184194,Los Canelos,L2,2026-03-06 10:37:28,20232403,Concepcion,L2,2026-03-06 11:24:10,20221517,Salida,CW→CC,QR,
184262,Huinca,L2,2026-03-06 17:55:53,20232702,Juan Pablo II,L2,2026-03-06 18:33:02,20230003,Salida,CW→CC,QR,
184262,Juan Pablo II,L2,2026-03-06 21:46:57,20230004,Huinca,L2,2026-03-06 22:25:26,20232701,Salida,CC→CW,QR,
